step,energy,avg_error,long_links,self_aware,total_activity,total_weights,generation,perception_conflict
0,365.35837597545867,0.0,0,0,397,1701.6240245413583,1,0.0
1,476.69031335677795,0.0,0,0,398,1708.0626186807317,1,0.0
2,588.8320085761944,0.0,0,0,407,1718.304780583525,1,0.0
3,703.8997043031891,0.0,0,0,410,1732.304273005317,1,0.0
4,818.9302226644542,0.0,0,0,411,1749.4816387349665,1,0.0
5,933.9407478719606,0.0,0,0,411,1769.4747924935277,1,0.0
6,1048.9281895566846,0.0,0,0,411,1792.55831527598,1,0.0
7,1163.869393927211,0.0,0,0,412,1818.7956294736596,1,0.0
8,1278.7814573063995,0.0,0,0,412,1847.9366208113452,1,0.0
9,1393.5821727015725,0.0,2,0,411,1879.2846048268825,1,0.0
10,1508.3492928616286,0.0,2,0,411,1912.8798399439802,1,0.0
11,1623.0812744691302,0.0,2,0,411,1948.0183924984296,1,0.0
12,1737.7767165906535,0.0,2,0,411,1984.5578784767454,1,0.0
13,1852.434063900599,0.0,2,0,411,2022.652690054461,1,0.0
14,1967.0518717897307,0.0,2,0,411,2062.1921108682473,1,0.0
15,2081.628848017021,0.0,2,0,411,2103.023772709932,1,0.0
16,2196.1639034478044,0.0,2,0,411,2144.9445692167023,1,0.0
17,2310.6562452915655,0.0,2,0,411,2187.6581562387087,1,0.0
18,2425.1050717788844,0.0,2,0,411,2231.1735126810927,1,0.0
19,2539.3098286032455,0.0,6,0,411,2275.2431756388105,1,0.0
20,2653.470150016129,0.0,6,0,411,2319.678587116582,1,0.0
21,2767.585652636763,0.0,6,0,411,2364.497379365956,1,0.0
22,2881.656040200395,0.0,6,0,411,2409.6124363678728,1,0.0
23,2995.6811328739077,0.0,6,0,411,2454.907326487369,1,0.0
24,3109.6607482792074,0.0,6,0,411,2500.3845947004556,1,0.0
25,3223.5947725221145,0.0,6,0,411,2545.9757570928896,1,0.0
26,3337.483131978067,0.0,6,0,411,2591.6405440473823,1,0.0
27,3451.32566589054,0.0,6,0,411,2637.4660875267737,1,0.0
28,3565.1222806262604,0.0,6,0,411,2683.3852642798056,1,0.0
29,3678.772972453196,0.0,8,0,411,2729.308173064548,1,0.0
30,3792.3777793121067,0.0,8,0,411,2775.1931410891307,1,0.0
31,3905.9366991819597,0.0,8,0,411,2821.0801301468755,1,0.0
32,4019.4497699111703,0.0,8,0,411,2866.929270789247,1,0.0
33,4132.916990997293,0.0,8,0,411,2912.7789138769194,1,0.0
34,4246.338397683076,0.0,8,0,411,2958.593314217117,1,0.0
35,4359.714035532608,0.0,8,0,411,3004.3621504681246,1,0.0
36,4473.043950064164,0.0,8,0,411,3050.0854684443416,1,0.0
37,4586.328186750249,0.0,8,0,411,3095.763313914604,1,0.0
38,4699.566791017647,0.0,8,0,411,3141.3957326022305,1,0.0
39,4812.659808247462,0.0,10,0,411,3186.9827701850663,1,0.0
40,4925.707283775167,0.0,10,0,411,3232.52447229553,1,0.0
41,5038.709262890646,0.0,10,0,411,3278.020884520658,1,0.0
42,5151.665790838244,0.0,10,0,411,3323.472052402155,1,0.0
43,5264.576912816808,0.0,10,0,411,3368.878021436431,1,0.0
44,5377.442673979733,0.0,10,0,411,3414.238837074655,1,0.0
45,5490.26311943501,0.0,10,0,411,3459.554544722796,1,0.0
46,5603.038294245268,0.0,10,0,411,3504.825189741669,1,0.0
47,5715.768243427821,0.0,10,0,411,3550.0508174469824,1,0.0
48,5828.453011954712,0.0,10,0,411,3595.23147310938,1,0.0
49,5940.992644752757,0.0,12,0,411,3640.367201954491,1,0.0
50,6053.487186703594,0.0,12,0,411,3685.4580491629704,1,0.0
51,6165.936682643723,0.0,12,0,411,3730.5040598705464,1,0.0
52,6278.341177364555,0.0,12,0,411,3775.5052791680673,1,0.0
53,6390.700715612454,0.0,12,0,411,3820.4617521015434,1,0.0
54,6503.015342088782,0.0,12,0,411,3865.3735236721936,1,0.0
55,6615.285101449946,0.0,12,0,411,3910.2406388364925,1,0.0
56,6727.51003830744,0.0,12,0,411,3955.0631425062084,1,0.0
57,6839.690197227891,0.0,12,0,411,3999.84107954846,1,0.0
58,6951.825622733106,0.0,12,0,411,4044.574494785749,1,0.0
59,7063.916359300109,0.0,12,0,411,4089.263432996012,1,0.0
60,7175.962451361197,0.0,12,0,411,4133.9079389126655,1,0.0
61,7287.963943303972,0.0,12,0,411,4178.508057224648,1,0.0
62,7399.920879471396,0.0,12,0,411,4223.063832576464,1,0.0
63,7511.833304161828,0.0,12,0,411,4267.575309568233,1,0.0
64,7623.701261629072,0.0,12,0,411,4312.042532755729,1,0.0
65,7735.524796082422,0.0,12,0,411,4356.46554665043,1,0.0
66,7847.303951686702,0.0,12,0,411,4400.84439571956,1,0.0
67,7959.038772562316,0.0,12,0,411,4445.179124386131,1,0.0
68,8070.729302785287,0.0,12,0,411,4489.469777028994,1,0.0
69,8182.375586387304,0.0,12,0,411,4533.7163979828765,1,0.0
70,8293.977667355766,0.0,12,0,411,4577.919031538429,1,0.0
71,8405.535589633824,0.0,12,0,411,4622.077721942278,1,0.0
72,8517.049397120427,0.0,12,0,411,4666.192513397052,1,0.0
73,8628.519133670365,0.0,12,0,411,4710.263450061443,1,0.0
74,8739.944843094314,0.0,12,0,411,4754.290576050244,1,0.0
75,8851.32656915888,0.0,12,0,411,4798.273935434389,1,0.0
76,8962.66435558664,0.0,12,0,411,4842.213572241006,1,0.0
77,9073.958246056185,0.0,12,0,411,4886.109530453455,1,0.0
78,9185.208284202174,0.0,12,0,411,4929.96185401137,1,0.0
79,9296.414513615364,0.0,12,0,411,4973.7705868107105,1,0.0
80,9407.57697784266,0.0,12,0,411,5017.535772703801,1,0.0
81,9518.69572038716,0.0,12,0,411,5061.2574554993735,1,0.0
82,9629.770784708198,0.0,12,0,411,5104.935678962614,1,0.0
83,9740.802214221383,0.0,12,0,411,5148.570486815204,1,0.0
84,9851.790052298647,0.0,12,0,411,5192.161922735369,1,0.0
85,9962.73434226829,0.0,12,0,411,5235.710030357917,1,0.0
86,10073.635127415015,0.0,12,0,411,5279.214853274283,1,0.0
87,10184.492450979982,0.0,12,0,411,5322.676435032574,1,0.0
88,10295.306356160845,0.0,12,0,411,5366.094819137614,1,0.0
89,10406.076886111794,0.0,12,0,411,5409.470049050984,1,0.0
90,10516.804083943603,0.0,12,0,411,5452.802168191069,1,0.0
91,10627.48799272367,0.0,12,0,411,5496.091219933098,1,0.0
92,10738.12865547606,0.0,12,0,411,5539.337247609189,1,0.0
93,10848.726115181553,0.0,12,0,411,5582.540294508398,1,0.0
94,10959.280414777677,0.0,12,0,411,5625.700403876748,1,0.0
95,11069.791597158759,0.0,12,0,411,5668.817618917288,1,0.0
