step,energy,avg_error,long_links,self_aware,total_activity,total_weights,generation,perception_conflict
0,303.2809327007028,0.0,0,0,451,1699.067299297186,1,0.0
1,341.46381148847723,0.030391119420097625,0,0,440,1707.6036151121766,1,1.0
2,375.6221884884776,0.03736433087779377,0,0,443,1720.2468658557714,1,1.0
3,412.7741166730168,0.03935210750118657,0,0,444,1737.294143762307,1,1.0
4,451.97251377562156,0.03709609189003191,0,0,445,1758.7098403420664,1,1.0
5,487.0210799107628,0.03901433368886457,0,0,446,1784.0333149705896,1,1.0
6,524.9291629804884,0.04352663254228937,0,0,446,1812.7481241835164,1,1.0
7,560.8407539341534,0.04604528494280545,0,0,446,1844.5543743090275,1,1.0
8,595.747579887165,0.04734850289660104,0,0,446,1879.4163032701858,1,1.0
9,631.44413060083,0.048241490766747164,4,0,445,1917.5072980904524,1,1.0
10,656.0670373810109,0.04956435393745593,4,0,445,1957.9360823056286,1,1.0
11,687.7798520933279,0.04849371722702894,4,0,445,2000.7128664934432,1,1.0
12,718.4713079353469,0.047227944276958755,4,0,445,2045.8900606342663,1,1.0
13,744.1513316297433,0.04564665715905377,4,0,445,2092.6009917854426,1,1.0
14,777.6628371879996,0.04585826516505877,4,0,445,2140.7151519101963,1,1.0
15,812.0898887960107,0.04647832325891299,4,0,445,2190.0133711366793,1,1.0
16,844.506592565331,0.04656247908554055,4,0,445,2240.517834236672,1,1.0
17,874.9610674902586,0.04565796069551999,4,0,445,2292.010507246453,1,1.0
18,901.26394476652,0.04587974011404528,4,0,445,2344.2293484576594,1,1.0
19,935.2829749175011,0.04618703050173599,8,0,446,2397.1267274155166,1,1.0
20,968.3794145769485,0.045237491386184124,8,0,446,2450.6120622928483,1,1.0
21,999.3842749028643,0.044532865023379255,8,0,447,2504.5209863410723,1,1.0
22,1028.3282228064295,0.04411786538125642,8,0,446,2558.7527700608457,1,1.0
23,1065.234728196224,0.043433612135227985,8,0,447,2613.276359745798,1,1.0
24,1096.0647269891604,0.042975617423146,8,0,447,2668.030080061806,1,1.0
25,1125.8528729259187,0.04245428789931252,8,0,447,2722.992801802866,1,1.0
26,1160.490974880526,0.04266668895075526,8,0,447,2778.0843846185526,1,1.0
27,1191.107795661288,0.04262446351197991,8,0,447,2833.27228461188,1,1.0
28,1222.67103266037,0.042574022126873765,8,0,447,2888.515405679651,1,1.0
29,1244.1493950775919,0.04285698026559814,8,0,446,2943.704814482698,1,1.0
30,1267.5056502592274,0.04354830940297379,8,0,446,2998.8926317381483,1,1.0
31,1299.0276844848665,0.0428296897266211,8,0,446,3054.061889794719,1,1.0
32,1328.436152564758,0.04250602668427642,8,0,446,3109.236971549937,1,1.0
33,1353.7652284516794,0.04234172536773457,8,0,446,3164.364574823229,1,1.0
34,1380.1423841746503,0.04160288864967378,8,0,446,3219.4699099064314,1,1.0
35,1411.3571414490646,0.041495849588537005,8,0,446,3274.5274679358786,1,1.0
36,1438.5562652504304,0.041184848770109674,8,0,446,3329.5301061394457,1,1.0
37,1467.6799219240042,0.040996668812108034,8,0,446,3384.4778795746897,1,1.0
38,1492.7596129044605,0.040763321012443225,8,0,446,3439.37247241739,1,1.0
39,1519.762314111981,0.040551733590115664,8,0,447,3494.29068126904,1,1.0
40,1549.6346804908683,0.0407168309422791,8,0,447,3549.1541101973708,1,1.0
41,1580.5365824745475,0.040476372679350905,8,0,447,3603.9628141205935,1,1.0
42,1607.3755902376063,0.04028375872982581,8,0,447,3658.7168479021366,1,1.0
43,1637.0932314546783,0.04040149822671188,8,0,447,3713.4162663507036,1,1.0
44,1664.7584860972825,0.040503037473951564,8,0,447,3768.061124220328,1,1.0
45,1692.4758443328974,0.04014053397842095,8,0,447,3822.6514762104284,1,1.0
46,1719.0614369736297,0.04011916244365191,8,0,447,3877.187376965863,1,1.0
47,1749.6536597479844,0.039846053036394935,8,0,447,3931.668881076983,1,1.0
48,1784.1613178043563,0.039624656222736365,8,0,448,3986.140159247867,1,1.0
49,1814.581422005061,0.03962359460628464,8,0,447,4040.5128936236647,1,1.0
50,1839.926169169633,0.03962591578348183,8,0,448,4094.9007533774698,1,1.0
51,1871.3533909515359,0.03910601512163404,8,0,448,4149.252745729116,1,1.0
52,1900.6227574165505,0.038993454180821216,8,0,448,4203.56266377135,1,1.0
53,1932.8260167344802,0.03892908984907534,8,0,448,4257.835885750916,1,1.0
