step,energy,avg_error,long_links,self_aware,total_activity,total_weights,generation,perception_conflict
0,378.9924798395873,0.0,0,0,415,1707.5201604126735,1,0.0
1,501.1180399163102,0.0,0,0,408,1714.4399232771539,1,0.0
2,628.0732062615148,0.0,0,0,416,1724.8336547953838,1,0.0
3,754.0344209748622,0.0,0,0,415,1738.7852866525252,1,0.0
4,880.9383770726645,0.0,0,0,417,1756.043902197672,1,0.0
5,1008.7816698224849,0.0,0,0,419,1776.707250179536,1,0.0
6,1136.560885496549,0.0,0,0,421,1800.784325936045,1,0.0
7,1265.292785837243,0.0,0,0,422,1828.099659305928,1,0.0
8,1393.9943536497576,0.0,0,0,422,1858.432187485347,1,0.0
9,1522.562989646635,0.0,2,0,422,1891.364003122565,1,0.0
10,1651.0963076667897,0.0,2,0,422,1926.6819798453075,1,0.0
11,1779.592171155856,0.0,2,0,422,1964.136510933675,1,0.0
12,1908.0486860802519,0.0,2,0,422,2003.4850756042392,1,0.0
13,2036.4440209946104,0.0,2,0,423,2044.6650856415602,1,0.0
14,2164.796456148496,0.0,2,0,423,2087.56484611459,1,0.0
15,2293.104634002715,0.0,2,0,423,2131.8221457809045,1,0.0
16,2421.367529857721,0.0,2,0,423,2177.104144994373,1,0.0
17,2549.5842300519275,0.0,2,0,423,2223.299805793225,1,0.0
18,2677.7540585500415,0.0,2,0,423,2270.17150188626,1,0.0
19,2805.876499955156,0.0,2,0,423,2317.5585948858625,1,0.0
20,2933.9510898843773,0.0,2,0,423,2365.41007077848,1,0.0
21,3061.9775969237953,0.0,2,0,423,2413.4929605819298,1,0.0
22,3189.9557214242163,0.0,2,0,423,2461.875499578992,1,0.0
23,3317.8850988749464,0.0,2,0,423,2510.622549270066,1,0.0
24,3445.765514737826,0.0,2,0,423,2559.5841371205365,1,0.0
25,3573.596869733499,0.0,2,0,423,2608.6450043271234,1,0.0
26,3701.3790761759356,0.0,2,0,423,2657.7935575630895,1,0.0
27,3829.112095234588,0.0,2,0,423,2706.980941347241,1,0.0
28,3956.795902420602,0.0,2,0,423,2756.1928139861666,1,0.0
29,4084.4304491553285,0.0,2,0,423,2805.453265273712,1,0.0
30,4212.0157193944915,0.0,2,0,423,2854.729760836505,1,0.0
31,4339.551729334942,0.0,2,0,423,2903.9900595489325,1,0.0
32,4467.038477543553,0.0,2,0,423,2953.2517913891993,1,0.0
33,4594.475973170586,0.0,2,0,423,3002.504372967055,1,0.0
34,4721.864201949185,0.0,2,0,423,3051.7712214006146,1,0.0
35,4849.203168696756,0.0,2,0,423,3101.033252429992,1,0.0
36,4976.492915091861,0.0,2,0,423,3150.2536048948527,1,0.0
37,5103.733477565373,0.0,2,0,423,3199.4375264876176,1,0.0
38,5230.924905098159,0.0,2,0,423,3248.572467213444,1,0.0
39,5358.067246621903,0.0,2,0,423,3297.6584762562525,1,0.0
40,5485.160533123786,0.0,2,0,423,3346.713498116525,1,0.0
41,5612.204811332637,0.0,2,0,423,3395.7217911491916,1,0.0
