step,energy,avg_error,long_links,self_aware,total_activity,total_weights,generation,perception_conflict
0,299.5128360127401,0.0,0,0,440,1687.1639872598987,1,0.0
1,344.942792659334,0.02310394372888361,0,0,432,1694.5955230494806,1,1.0
2,387.30343792234834,0.029336089535483962,0,0,436,1706.3960243099993,1,1.0
3,428.65202883679194,0.03127825862708574,0,0,437,1722.4287213414837,1,1.0
4,466.03735499572696,0.030205411129776455,0,0,437,1742.687422224055,1,1.0
5,505.24520585526545,0.03451951274069844,0,0,437,1766.5554124273153,1,1.0
6,546.434646404072,0.036787627335193154,0,0,438,1794.101023741954,1,1.0
7,586.641515628257,0.03730358778633616,0,0,438,1824.897309560541,1,1.0
8,631.79518379843,0.03812648432800647,0,0,438,1858.8209416511268,1,1.0
9,673.8880011928877,0.037291458073816466,2,0,438,1895.7040395880606,1,1.0
10,710.9669682610951,0.03615026364908407,2,0,438,1935.2608087441045,1,1.0
11,750.0289977837608,0.034790755905239654,2,0,438,1977.1261241537807,1,1.0
12,788.9815220744806,0.03463686831894305,2,0,438,2020.7885191118226,1,1.0
13,831.8708926891142,0.034754382853448014,2,0,438,2066.2242686901554,1,1.0
14,868.7016311695363,0.03500799844321894,2,0,438,2113.27919701786,1,1.0
15,905.4426360131442,0.035742630852342486,2,0,438,2161.39205604594,1,1.0
16,939.2019281028445,0.03560780443846743,2,0,438,2210.741158253439,1,1.0
17,976.7614401737774,0.03712512519484256,2,0,438,2260.955706572803,1,1.0
18,1015.4861643886601,0.03624217464483577,2,0,438,2311.97452513497,1,1.0
19,1050.0779034494476,0.035264598485284,4,0,438,2363.5963137693734,1,1.0
20,1087.4513453274124,0.035939483460206,4,0,438,2415.6599084591644,1,1.0
21,1124.835317163051,0.03598830423002246,4,0,438,2468.1262258180423,1,1.0
22,1168.107444695208,0.03653994661775637,4,0,438,2520.9570527458186,1,1.0
23,1205.3491212407841,0.03686042122146543,4,0,438,2573.967353569569,1,1.0
24,1240.5013530633855,0.03744417629219117,4,0,438,2626.9742174213884,1,1.0
25,1275.6127507227166,0.03789120902216718,4,0,438,2680.0462641087815,1,1.0
26,1312.6868300158765,0.038188153491506296,4,0,438,2733.173938197351,1,1.0
27,1350.6533147829061,0.038848575912559795,4,0,438,2786.327044718831,1,1.0
28,1390.6742219936514,0.038732455377635436,4,0,438,2839.4842738701614,1,1.0
29,1424.6154964090251,0.03879784248969989,4,0,438,2892.6137189083574,1,1.0
30,1459.5882532724922,0.03832089463149808,4,0,438,2945.705637811764,1,1.0
31,1498.3185962418165,0.039042457134114805,4,0,438,2998.7542501994003,1,1.0
32,1540.0807107983112,0.03921308361427722,4,0,438,3051.7602495529427,1,1.0
33,1573.8257249746027,0.03916633484700177,4,0,438,3104.7290972216992,1,1.0
34,1613.444071394794,0.0395391581965812,4,0,438,3157.6670551485886,1,1.0
35,1647.118758203637,0.03929065218200905,4,0,438,3210.5739861449797,1,1.0
36,1684.724465977186,0.03914208733381119,4,0,438,3263.428782670734,1,1.0
37,1724.1412054747627,0.03971047945838111,4,0,438,3316.2309108358645,1,1.0
38,1757.5944060278994,0.039797388890327794,4,0,438,3368.980423495167,1,1.0
39,1795.0713432350278,0.03950175393191428,4,0,438,3421.67737345077,1,1.0
40,1827.4752617492245,0.03931917284956672,4,0,438,3474.321813452188,1,1.0
41,1860.8156308973578,0.03919742897476527,4,0,438,3526.9137961963684,1,1.0
42,1898.1673760363929,0.038787240481535715,4,0,438,3579.4533743277516,1,1.0
43,1932.45903996838,0.03842977281649541,4,0,438,3631.940600438321,1,1.0
44,1965.6776091009426,0.038179783918758016,4,0,438,3684.3755270676547,1,1.0
45,1994.8237898105176,0.03802688819523288,4,0,438,3736.7582067029784,1,1.0
