step,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7
0,84.375,92.1875,82.8125,87.5,93.75,84.375,89.0625,90.625
1,76.5625,87.5,79.6875,89.0625,90.625,85.9375,87.5,90.625
2,79.6875,87.5,79.6875,87.5,90.625,85.9375,89.0625,92.1875
3,79.6875,89.0625,79.6875,87.5,90.625,85.9375,89.0625,92.1875
4,79.6875,89.0625,79.6875,87.5,92.1875,85.9375,89.0625,92.1875
5,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
6,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
7,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
8,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
9,79.6875,89.0625,79.6875,87.5,92.1875,85.9375,89.0625,92.1875
10,79.6875,89.0625,79.6875,87.5,92.1875,85.9375,89.0625,92.1875
11,79.6875,89.0625,79.6875,87.5,92.1875,85.9375,89.0625,92.1875
12,79.6875,89.0625,79.6875,87.5,92.1875,85.9375,89.0625,92.1875
13,79.6875,89.0625,79.6875,87.5,92.1875,85.9375,89.0625,92.1875
14,79.6875,89.0625,79.6875,87.5,92.1875,85.9375,89.0625,92.1875
15,79.6875,89.0625,79.6875,87.5,92.1875,85.9375,89.0625,92.1875
16,79.6875,89.0625,79.6875,87.5,92.1875,85.9375,89.0625,92.1875
17,79.6875,89.0625,79.6875,87.5,92.1875,85.9375,89.0625,92.1875
18,79.6875,89.0625,79.6875,87.5,92.1875,85.9375,89.0625,92.1875
19,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
20,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
21,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
22,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
23,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
24,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
25,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
26,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
27,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
28,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
29,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
30,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
31,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
32,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
33,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
34,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
35,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
36,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
37,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
38,79.6875,89.0625,79.6875,89.0625,92.1875,85.9375,89.0625,92.1875
39,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
40,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
41,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
42,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
43,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
44,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
45,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
46,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
47,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
48,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
49,79.6875,89.0625,81.25,89.0625,92.1875,85.9375,89.0625,92.1875
50,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
51,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
52,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
53,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
54,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
55,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
56,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
57,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
58,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
59,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
60,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
61,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
62,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
63,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
64,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
65,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
66,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
67,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
68,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
69,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
70,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
71,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
72,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
73,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
74,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
75,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
76,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
77,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
78,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
79,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
80,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
81,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
82,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
83,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
84,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
85,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
86,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
87,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
88,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
89,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
90,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
91,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
92,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
93,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
94,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
95,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
96,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
97,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
98,79.6875,89.0625,82.8125,89.0625,92.1875,85.9375,89.0625,92.1875
99,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
100,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
101,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
102,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
103,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
104,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
105,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
106,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
107,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
108,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
109,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
110,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
111,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
112,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
113,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
114,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
115,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
116,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
117,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
118,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
119,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
120,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
121,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
122,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
123,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
124,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
125,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
126,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
127,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
128,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
129,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
130,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
131,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
132,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
133,79.6875,89.0625,87.5,89.0625,92.1875,85.9375,89.0625,92.1875
