step,energy,avg_error,long_links,self_aware,total_activity,total_weights,generation,perception_conflict
0,299.6072919088959,0.0,0,0,434,1712.7080911040916,1,0.0
1,339.20864110234896,0.02373656424222338,0,0,422,1719.3284814102426,1,1.0
2,376.5524685599417,0.041390296147944455,0,0,427,1729.6671046194058,1,1.0
3,419.05605597423454,0.040603940418083254,0,0,428,1743.7697873549234,1,1.0
4,457.42468777553285,0.0431850284093145,0,0,430,1761.747714030675,1,1.0
5,494.7275109977276,0.04570267756529589,0,0,431,1783.3670082163685,1,1.0
6,534.0936272061249,0.044996202992433135,0,0,431,1808.5716529608476,1,1.0
7,569.3534078560021,0.04640130191095264,0,0,431,1836.931860762021,1,1.0
8,607.6610358982965,0.045752681743266875,0,0,431,1867.9554137678185,1,1.0
9,644.8681021025168,0.046563297563352014,0,0,431,1901.503365789096,1,1.0
10,683.0381434716502,0.04724643864491975,0,0,431,1937.350941478817,1,1.0
11,722.2119024728046,0.0471218701850869,0,0,431,1975.6220439572894,1,1.0
12,759.4302712127827,0.045721430644968954,0,0,431,2015.9782341429423,1,1.0
13,798.5065287076928,0.045937826179631554,0,0,431,2058.118619400406,1,1.0
14,831.474162728156,0.04698230518030663,0,0,431,2101.774169153523,1,1.0
15,864.4509626076807,0.04722635078428113,0,0,431,2146.7596786172444,1,1.0
16,899.4618068064775,0.04650554019387926,0,0,431,2192.871449745092,1,1.0
17,937.430721107223,0.04581106937250387,0,0,431,2239.7193486835445,1,1.0
18,976.1757182274921,0.047032690001691906,0,0,431,2287.2496387059505,1,1.0
19,1007.9804283879629,0.04706158035961644,0,0,431,2335.4607928144464,1,1.0
20,1042.8244549127205,0.04625637474649408,0,0,431,2384.103791098794,1,1.0
21,1083.588149748852,0.04580593230446883,0,0,431,2433.1240227160397,1,1.0
22,1121.214148455656,0.04615796871165032,0,0,431,2482.3964835868633,1,1.0
23,1158.79918233249,0.04641154223062449,0,0,431,2531.8336717412667,1,1.0
24,1198.3298523967403,0.04668251975084722,0,0,431,2581.410670905509,1,1.0
25,1236.7934480075207,0.047066293991511854,0,0,431,2631.1216298688314,1,1.0
26,1268.224403267007,0.047294307134953105,0,0,431,2680.92483058132,1,1.0
27,1307.589797890675,0.04761709714803948,0,0,431,2730.8342340327545,1,1.0
28,1343.9977019633977,0.047285238903913396,0,0,431,2780.7788141281094,1,1.0
29,1380.25119734391,0.04766652994495313,0,0,431,2830.733544144565,1,1.0
30,1419.5388293952308,0.04748529715957419,0,0,431,2880.6762260735786,1,1.0
31,1457.7791058060936,0.04729760110461406,0,0,431,2930.619057420305,1,1.0
32,1492.9861263151315,0.04702076408397532,0,0,431,2980.525285477809,1,1.0
33,1528.1701632742524,0.046603240186483146,0,0,431,3030.435893056862,1,1.0
34,1566.269412853015,0.04640672884104235,0,0,431,3080.3225295309257,1,1.0
35,1609.3488861089586,0.04605640533146145,0,0,431,3130.1594450769894,1,1.0
36,1642.361480008599,0.04581658652318738,0,0,431,3179.946689581691,1,1.0
37,1680.358385601529,0.04541096544961577,0,0,431,3229.694316981583,1,1.0
38,1719.2213666047064,0.04545493469889302,0,0,431,3279.4023688646353,1,1.0
39,1755.0905972166047,0.045219477078221916,0,0,431,3329.0696788056207,1,1.0
40,1789.8871504499396,0.0451075632594804,0,0,431,3378.698737057574,1,1.0
41,1826.7587853716827,0.04441186723375369,0,0,431,3428.278373015314,1,1.0
42,1865.5332685156934,0.04396835205381784,0,0,431,3477.808636307899,1,1.0
43,1903.0366411579396,0.04454477881735282,0,0,431,3527.2895765149656,1,1.0
44,1940.632334494873,0.04447040326264087,0,0,431,3576.7212431667763,1,1.0
45,1982.1669742671904,0.044449391015550094,0,0,431,3626.1036857442705,1,1.0
46,2022.5701389067544,0.04477625792934404,0,0,431,3675.436953679116,1,1.0
47,2061.0564366334593,0.0445420354634244,0,0,431,3724.721096353756,1,1.0
48,2100.3463067574708,0.04491331194175207,0,0,431,3773.9561631014576,1,1.0
49,2140.669426708959,0.044942716769050026,0,0,431,3823.142203206362,1,1.0
50,2175.8117189478257,0.045482631428920894,0,0,431,3872.2792659035385,1,1.0
51,2206.9686422012605,0.045759400654131165,0,0,431,3921.3674003790256,1,1.0
52,2240.1567868505103,0.045724734504757635,0,0,431,3970.406655769888,1,1.0
53,2278.3270828811706,0.045576848199865475,0,0,431,4019.397081164257,1,1.0
54,2311.4361487650444,0.04547882171632354,0,0,431,4068.33872560139,1,1.0
55,2349.3974412780203,0.045734345947543664,0,0,431,4117.231638071712,1,1.0
56,2393.3318542802217,0.04590410223080863,0,0,431,4166.075867516867,1,1.0
57,2430.2706995433186,0.04588582263091786,0,0,431,4214.871462829769,1,1.0
58,2467.179673481872,0.04580493904727972,0,0,431,4263.618472854647,1,1.0
59,2499.0881024959162,0.045567935368626605,0,0,431,4312.3169463870945,1,1.0
60,2529.881506983123,0.04555454028563485,0,0,431,4360.966932174124,1,1.0
61,2566.4732986899553,0.04603055465754115,0,0,431,4409.568478914206,1,1.0
62,2599.148455410623,0.04607659487431744,0,0,431,4458.12163525733,1,1.0
63,2634.7471046963574,0.04620809038647754,0,0,431,4506.62644980504,1,1.0
64,2672.423217189157,0.045951097431631845,0,0,431,4555.0829711104925,1,1.0
65,2706.938441877884,0.04604018190453518,0,0,431,4603.491247678503,1,1.0
66,2744.3957843979615,0.04615445290159421,0,0,431,4651.851327965593,1,1.0
67,2784.8008450922175,0.04627693825535224,0,0,431,4700.163260380038,1,1.0
68,2820.2519773158874,0.04612484516211932,0,0,431,4748.42709328192,1,1.0
69,2854.6718287294825,0.04592884141707872,0,0,431,4796.642874983169,1,1.0
70,2888.983237831653,0.04590678605431214,0,0,431,4844.81065374762,1,1.0
71,2928.176420487504,0.04607885245389466,0,0,431,4892.930477791054,1,1.0
72,2965.4418501367127,0.045919207251290284,0,0,431,4941.00239528125,1,1.0
73,3001.730012020705,0.04557409225107793,0,0,431,4989.026454338031,1,1.0
74,3034.9616768701558,0.045260743235533175,0,0,431,5037.002703033314,1,1.0
75,3067.969212344828,0.04541526379479032,0,0,431,5084.931189391161,1,1.0
76,3101.862582558808,0.045736783222161036,0,0,431,5132.811961387819,1,1.0
77,3135.7976659441397,0.045822456142282,0,0,431,5180.6450669517735,1,1.0
78,3169.7514665091444,0.045738937295356656,0,0,431,5228.430553963797,1,1.0
79,3202.6388642934353,0.04570337932923839,0,0,431,5276.1684702569955,1,1.0
